sel,title,artist,album,track_n,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,lyrics
97,Welcome To New York,Taylor Swift,1989,1,Synth Pop,2014,117,63,79,-5,30,62,213,4,3,60,"Walking through a crowd, the village is aglow
Kaleidoscope of loud heartbeats under coats
Everybody here wanted something more
Searching for a sound we hadn't heard before
And it said
Welcome to New York!
It's been waiting for you
Welcome to New York
Welcome to New York
Welcome to New York!
It's been waiting for you
Welcome to New York
Welcome to New York
It's a new soundtrack
I could dance to this beat (beat)
Forevermore
The lights are so bright
But they never blind me (me)
Welcome to New York!
It's been waiting for you
Welcome to New York
Welcome to New York
When we first dropped our bags on apartment floors
Took our broken hearts, put them in a drawer
Everybody here was someone else before
And you can want who you want
Boys and boys and girls and girls
Welcome to New York!
It's been waiting for you
Welcome to New York
Welcome to New York
Welcome to New York!
It's been waiting for you
Welcome to New York
Welcome to New York
It's a new soundtrack
I could dance to this beat (beat)
Forevermore
The lights are so bright
But they never blind me (me)
Welcome to New York!
It's been waiting for you
Welcome to New York
Welcome to New York
Like any great love, it keeps you guessing
Like any real love, it's ever-changing
Like any true love, it drives you crazy
But you know you wouldn't change anything, anything, anything
Welcome to New York!
It's been waiting for you
Welcome to New York
Welcome to New York
Welcome to New York!
It's been waiting for you
Welcome to New York
Welcome to New York
It's a new soundtrack
I could dance to this beat (beat)
Forevermore
The lights are so bright
But they never blind me (me)
Welcome to New York!
It's been waiting for you
Welcome to New York
Welcome to New York"
10,Blank Space,Taylor Swift,1989,2,Electropop,2014,96,70,76,-5,9,57,232,10,5,78,"Nice to meet you, where you been?
I could show you incredible things
Magic, madness, heaven, sin
Saw you there, and I thought
""Oh my God, look at that face
You look like my next mistake
Love's a game, wanna play?"" Ayy
New money, suit and tie
I can read you like a magazine
Ain't it funny? Rumors fly
And I know you heard about me
So hey, let's be friends
I'm dyin' to see how this one ends
Grab your passport and my hand
I can make the bad guys good for a weekend
So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless, hmm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name
Cherry lips, crystal skies
I could show you incredible things
Stolen kisses, pretty lies
You're the King, baby, I'm your Queen
Find out what you want
Be that girl for a month
Wait, the worst is yet to come, oh no
Screaming, crying, perfect storms
I can make all the tables turn
Rose garden filled with thorns
Keep you second guessin' like
""Oh my God, who is she?""
I get drunk on jealousy
But you'll come back each time you leave
'cause, darling, I'm a nightmare
Dressed like a daydream
So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless, hmm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name
Boys only want love if it's torture
Don't say I didn't, say I didn't, warn ya
Boys only want love if it's torture
Don't say I didn't, say I didn't, warn ya
So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless, hmm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name"
55,Style,Taylor Swift,1989,3,Synth Pop,2014,95,79,59,-6,12,49,231,0,4,70,"Midnight
You come and pick me up, no headlights
Long drive
Could end in burning flames or paradise
Fade into view
Oh, It's been a while since I have even heard from you
(Heard from you)
And I should just tell you to leave cause I
Know exactly where it leads, but I
Watch us go round and round each time
You got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back every time
Cause we never go out of style, we never go out of style
You got that long hair, slicked back, white t-shirt
And I got that good girl faith and a tight little skirt
And when we go crashing down, we come back every time
Cause we never go out of style, we never go out of style
So it goes
He can't keep his wild eyes on the road (mmm)
Takes me home
Lights are off, he's taking off his coat (mmm, yeah)
I say ""I've heard
Oh, that you've been out and about with some other girl""
Some other girl
He says ""What you heard is true, but I
Can't stop thinking 'bout you and I""
I said ""I've been there too a few times""
Cause you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back every time
Cause we never go out of style, we never go out of style
You got that long hair, slicked back, white t-shirt
And I got that good girl faith and a tight little skirt
And when we go crashing down, we come back every time
Cause we never go out of style, we never go out of style
Take me home
Just take me home
Yeah, just take me home
(Out of style)
Oh, you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back everytime
Cause we never go out of style, we never go out of style"
83,Out Of The Woods,Taylor Swift,1989,4,Synth Pop,2014,92,84,55,-7,34,34,236,0,4,65,"Looking at it now
It all seems so simple
We were lying on your couch
I remember
You took a Polaroid of us
Then discovered (then discovered)
The rest of the world was black and white
But we were in screaming color
And I remember thinking…
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
(Are we out of the woods?)
Looking at it now
Last December (last December)
We were built to fall apart
Then fall back together (back together)
Your necklace hanging from my neck
The night we couldn't quite forget
When we decided, we decided
To move the furniture so we could dance
Baby, like we stood a chance
Two paper airplanes flying, flying, flying
And I remember thinking…
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
(Are we out of the woods?)
Remember when you hit the brakes too soon?
Twenty stitches in a hospital room
When you started crying, baby, I did too
When the sun came up, I was looking at you
Remember when you couldn't take the heat?
I walked out and said I'm setting you free
But the monsters turned out to be just trees
When the sun came up, you were looking at me
You were looking at me, ooh
You were looking at me
(Are we out of the woods yet? Are we out of the woods yet?)
(Are we out of the woods yet? Are we out of the woods?)
I remember
(Are we in the clear yet? Are we in the clear yet?)
(Are we in the clear yet? In the clear yet? Good)
Oh, I remember!
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good"
98,All You Had To Do Was Stay,Taylor Swift,1989,5,Pop,2014,97,74,60,-6,11,47,193,0,3,60,"People like you always want back
 The love they gave away
 And people like me wanna believe you
 When you say you've changed
 The more I think about it now
 The less I know
 All I know is that you drove us
 Off the road
 (Stay!) Hey
 All you had to do was stay
 Had me in the palm of your hand
 Then why'd you have to go and lock me out when I let you in?
 (Stay!) Hey
 Now you say you want it back
 Now that it's just too late
 Well, could've been easy
 All you had to do was (stay!)
 All you had to do was (stay!)
 All you had to do was (stay!)
 All you had to do was (stay!)
 All you had to do was stay
 Here you are now calling me up
 But I don't know what to say
 I've been picking up the pieces
 Of the mess you made
 People like you always want back
 The love they pushed aside
 But people like me are gone forever
 When you say goodbye
 (Stay!) Hey
 All you had to do was stay
 Had me in the palm of your hand
 Then why'd you have to go and lock me out when I let you in?
 (Stay!) Hey
 Now you say you want it back
 Now that it's just too late
 Well, could've been easy
 All you had to do was (stay!)
 All you had to do was (stay!)
 All you had to do was (stay!)
 All you had to do was (stay! stay! stay! stay! stay!)
 Let me remind you
 This was what you wanted (Oh! Oh! Oh-oh-oh!)
 You ended it
 You were all I wanted (Oh! Oh! Oh-oh-oh!)
 But not like this
 Not like this... not like this...
 Oh! All you had to do was!
 (Stay!) Hey
 All you had to do was stay
 Had me in the palm of your hand
 Then why'd you want to go and lock me out when I let you in?
 (Stay!) Hey
 Now you say you want it back
 Now that it's just too late
 Well, could've been easy
 All you had to do was
 (Stay!) Hey
 All you had to do was stay
 Had me in the palm of your hand
 Then why'd you have to go and lock me out when I let you in?
 (Stay!) Hey
 Now you say you want it back
 Now that it's just too late (all you had to do was stay)
 Well, could've been easy
 All you had to do was (stay!)
 All you had to do was (stay!) (ahh-ooh)
 All you had to do was (stay!)
 All you had to do was (stay!) (Oo-oo-whoa)
 All you had to do was (stay!) "
14,Shake It Off,Taylor Swift,1989,6,dance pop,2014,160,80,65,-5,33,94,219,6,17,77,"I stay out too late
Got nothing in my brain
That's what people say, mmm, mmm
That's what people say, mmm, mmm
I go on too many dates
But I can't make them stay
At least that's what people say, mmm, mmm
That's what people say, mmm, mmm
But I keep cruisin'
Can't stop, won't stop movin'
It's like I got this music in my mind
Saying it's gonna be alright
'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off,  I shake it off
Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
I never miss a beat
I'm lightning on my feet
And that's what they don't see, mmm, mmm
That's what they don't see, mmm, mmm
I'm dancing on my own (dancing on my own)
I make the moves up as I go (moves up as I go)
And that's what they don't know, mmm, mmm
That's what they don't know, mmm, mmm
But I keep cruisin'
Can't stop, won't stop groovin'
It's like I got this music in my mind
Saying it's gonna be alright
'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off,  I shake it off
Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
Hey, hey, hey
Just think while you've been getting down and out about the liars
And dirty, dirty cheats of the world you could've been getting down to this sick beat
My ex-man brought his new girlfriend
She's like, “Oh my God”, but I'm just gonna shake
And to the fella over there with the hella good hair
Won't you come on over, baby, we can shake, shake, shake
Yeah, oh, oh, oh, oh
'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate (haters gonna hate)
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off,  I shake it off
Heartbreakers gonna break, break, break, break, break (mmhm)
And the fakers gonna fake, fake, fake, fake, fake (fake n' fake n' fake)
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off (yeah!)
Shake it off, I shake it off
I, I, I shake it off, I shake it off (you got to)
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off"
113,I Wish You Would,Taylor Swift,1989,7,Pop,2014,118,89,65,-6,10,51,207,2,5,57,"It's 2:00 AM, in your car
Windows down, you pass my street, the memories start
You say it's in the past
You drive straight ahead
You're thinking that I hate you now
Cause you still don't know what I never said
I wish you would come back
Wish I never hung up the phone like I did, and I
Wish you knew that
I'd never forget you as long as I live, and I
Wish you were right here, right now
It's all good
I wish you would
It's 2:00 AM, in my room
Headlights pass the window pane
I think of you
We're a crooked love
In a straight line down
Makes you want to run and hide
Then it makes you turn right back around
I wish you would come back
Wish I never hung up the phone like I did, and I
Wish you knew that
I'd never forget you as long as I live, and I
Wish you were right here, right now
It's all good
I wish you would
I wish we could go back
And remember what we were fighting for, and I
Wish you knew that
I miss you too much to be mad anymore, and I
Wish you were right here, right now
It's all good
I wish you would
(I, I, I-I, I, I, I wish I, wish I)
(I, I, I-I, I, I, I wish I, wish I)
(I, I, I-I, I, I, I wish I, wish I) x7
You always knew how to push my buttons
You give me everything and nothing
This mad mad love makes you come running
Stand back where you stood
I wish you would, I wish you would
(I wish you would, I wish you would)
I wish you would, I wish you would
(I wish you would, I wish you would)
2:00 AM, here we are
See your face, hear my voice in the dark
We're a crooked love
In a straight line down
Makes you wanna run and hide
But it made us turn right back around
I wish you would come back
Wish I never hung up the phone like I did, I
Wish you knew that
I'd never forget you as long as I live, and I
Wish you were right here, right now
It's all good
I wish you would
I wish you would come back
Wish I never hung up the phone like I did, I
Wish you knew that
I'd never forget you as long as I live, and I
Wish you were right here, right now
It's all good
I wish you would
I wish we could go back
And remember what we were fighting for, and I
Wish you knew that
I miss you too much to be mad anymore, and I
Wish you were right here, right now
It's all good
I wish you would
(I, I, I-I, I, I, I wish I, wish I) x8
You always knew how to push my buttons
You give me everything and nothing
This mad mad love makes you come running
Stand back where you stood
I wish you would, I wish you would
(I wish you would, I wish you would)
I wish you would, I wish you would
(I wish you would, I wish you would, I wish you would)
(I wish you would)
I wish you would"
68,Bad Blood,Taylor Swift,1989,8,Pop,2014,170,80,65,-6,15,30,212,9,18,68,"Cause baby, now we've got bad blood
 You know it used to be mad love
 So take a look what you've done
 'Cause baby, now we've got bad blood, hey
 Now we've got problems
 And I don't think we can solve 'em
 You made a really deep cut
 And baby, now we've got bad blood, hey!
 Did you have to do this?
 I was thinking that you could be trusted
 Did you have to ruin what was shiny?
 Now it's all rusted
 Did you have to hit me where I'm weak?
 Baby, I couldn't breathe
 And rub it in so deep
 Salt in the wound like you're laughing right at me
 Oh, it's so sad to
 Think about the good times
 You and I
 'Cause baby, now we've got bad blood
 You know it used to be mad love
 So take a look what you've done
 'Cause baby, now we've got bad blood, hey
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!
Did you think we'd be fine?
Still got scars in my back from your knives
So don't think it's in the past
These kind of wounds they last and they last
Now, did you think it all through?
All these things will catch up to you
And time can heal, but this won't
So if you come in my way
Just don't
Oh, it's so sad to
Think about the good times
You and I
'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!
Band-aids don't fix bullet holes
You say sorry just for show
You live like that, you live with ghosts
Band-aids don't fix bullet holes
You say sorry just for show
If you live like that, you live with ghosts
If you love like that, blood runs cold!
'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!
'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!"
24,Wildest Dreams,Taylor Swift,1989,9,Dream Pop,2014,140,66,55,-7,11,47,220,7,7,75,"He said, ""Let's get out of this town
Drive out of this city, away from the crowds""
I thought, ""Heaven can't help me now""
Nothing lasts forever, but this is gonna take me down
He's so tall and handsome as hell
He's so bad, but he does it so well
I can see the end as it begins
My one condition is
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah-aah haa
Wildest dreams, ah-aah haa
I said, ""No one has to know what we do""
His hands are in my hair, his clothes are in my room
And his voice is a familiar sound
Nothing lasts forever, but this is gettin' good now
He's so tall and handsome as hell
He's so bad, but he does it so well
And when we've had our very last kiss
My last request, it is
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah-aah haa (ah-aah haa)
Wildest dreams, ah-aah haa
You'll see me in hindsight, tangled up with you all night
Burnin' it down
Someday when you leave me, I'd bet these memories
Follow you around
You'll see me in hindsight, tangled up with you all night
Burning (burning) it (it) down (down)
Someday when you leave me, I'll bet these memories
Follow (follow) you (you) around (around)
(Follow you around)
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just pretend
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your (pretend, just pretend)
Wildest dreams, ah-aah haa (ah-aah-aah-aah-aah-haa)
In your wildest dreams, ah-aah haa
Even if it's just in your
Wildest dreams, ah-aah haa
In your wildest dreams, ah-aah haa"
105,How You Get The Girl,Taylor Swift,1989,10,Pop,2014,120,66,77,-6,9,55,248,0,5,58,"Uh, uh, uh
Uh, uh, uh
Uh-uh, uh-uh
Stand there like a ghost
Shaking from the rain, rain
She'll open up the door and say, ""Are you insane?""
Say it's been a long six months
And you were too afraid to tell her what you want, want
And that's how it works
That's how you get the girl
And then you say, I want you for worse or for better
I would wait forever and ever
Broke your heart, I'll put it back together
I would wait forever and ever
And that's how it works
That's how you get the girl, girl (oh-oh, oh-oh)
And that's how it works
That's how you get the girl, girl
Remind her how it used to be, be, yeah-yeah
With pictures in frames of kisses on cheeks, cheeks
Tell her how you must have lost your mind, ooh-ooh
When you left her all alone and never told her why, why
And that's how it works
That's how you lost the girl
And now you say—
I want you for worse or for better
I would wait forever and ever (ever and ever)
Broke your heart, I'll put it back together
I would wait forever and ever
And that's how it works
That's how you get the girl, girl (oh-oh, oh-oh)
And that's how it works
That's how you get the girl, girl
Yeah, yeah
And you know-oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
That I don't want you to go, oh, oh
Remind me how it used to be
Pictures in frames of kisses on cheeks
And say you want me, yeah-yeah
And then you say—
I want you for worse or for better (worse of for better)
I would wait forever and ever (and ever)
Broke your heart, I'll put it back together
I would wait forever and ever (I want you forever and ever)
And that's how it works
That's how you get the girl, girl (that's how it works!)
And that's how it works
That's how you get the girl, girl (get the girl! That's how it works!)
And that's how it works
That's how you get the girl, girl
And that's how it works
That's how you get the girl, girl
That's how it works, that's how you got the girl"
